population: 15139 problems after filtering
[10/1200] {'ok': 10}
[20/1200] {'ok': 20}
[30/1200] {'ok': 30}
[40/1200] {'ok': 40}
[50/1200] {'ok': 50}
[60/1200] {'ok': 58, 'fail': 2}
[70/1200] {'ok': 68, 'fail': 2}
[80/1200] {'ok': 78, 'fail': 2}
[90/1200] {'ok': 88, 'fail': 2}
[100/1200] {'ok': 94, 'fail': 6}
[110/1200] {'ok': 104, 'fail': 6}
[120/1200] {'ok': 110, 'fail': 10}
[130/1200] {'ok': 120, 'fail': 10}
[140/1200] {'ok': 130, 'fail': 10}
[150/1200] {'ok': 140, 'fail': 10}
[160/1200] {'ok': 150, 'fail': 10}
[170/1200] {'ok': 156, 'fail': 14}
[180/1200] {'ok': 166, 'fail': 14}
[190/1200] {'ok': 176, 'fail': 14}
[200/1200] {'ok': 186, 'fail': 14}
[210/1200] {'ok': 196, 'fail': 14}
[220/1200] {'ok': 206, 'fail': 14}
[230/1200] {'ok': 216, 'fail': 14}
[240/1200] {'ok': 222, 'fail': 18}
[250/1200] {'ok': 232, 'fail': 18}
[260/1200] {'ok': 242, 'fail': 18}
[270/1200] {'ok': 252, 'fail': 18}
[280/1200] {'ok': 259, 'fail': 21}
[290/1200] {'ok': 268, 'fail': 22}
[300/1200] {'ok': 278, 'fail': 22}
[310/1200] {'ok': 284, 'fail': 26}
[320/1200] {'ok': 290, 'fail': 30}
[330/1200] {'ok': 300, 'fail': 30}
[340/1200] {'ok': 308, 'fail': 32}
[350/1200] {'ok': 318, 'fail': 32}
[360/1200] {'ok': 328, 'fail': 32}
[370/1200] {'ok': 338, 'fail': 32}
[380/1200] {'ok': 344, 'fail': 36}
[390/1200] {'ok': 354, 'fail': 36}
[400/1200] {'ok': 364, 'fail': 36}
[410/1200] {'ok': 370, 'fail': 40}
[420/1200] {'ok': 376, 'fail': 44}
[430/1200] {'ok': 384, 'fail': 46}
[440/1200] {'ok': 392, 'fail': 48}
[450/1200] {'ok': 402, 'fail': 48}
[460/1200] {'ok': 412, 'fail': 48}
[470/1200] {'ok': 422, 'fail': 48}
[480/1200] {'ok': 432, 'fail': 48}
[490/1200] {'ok': 438, 'fail': 52}
[500/1200] {'ok': 444, 'fail': 56}
[510/1200] {'ok': 450, 'fail': 60}
[520/1200] {'ok': 460, 'fail': 60}
[530/1200] {'ok': 470, 'fail': 60}
[540/1200] {'ok': 480, 'fail': 60}
[550/1200] {'ok': 490, 'fail': 60}
[560/1200] {'ok': 496, 'fail': 64}
[570/1200] {'ok': 506, 'fail': 64}
[580/1200] {'ok': 516, 'fail': 64}
[590/1200] {'ok': 526, 'fail': 64}
[600/1200] {'ok': 536, 'fail': 64}
[610/1200] {'ok': 542, 'fail': 68}
[620/1200] {'ok': 552, 'fail': 68}
[630/1200] {'ok': 562, 'fail': 68}
[640/1200] {'ok': 572, 'fail': 68}
[650/1200] {'ok': 582, 'fail': 68}
[660/1200] {'ok': 592, 'fail': 68}
[670/1200] {'ok': 602, 'fail': 68}
[680/1200] {'ok': 612, 'fail': 68}
[690/1200] {'ok': 622, 'fail': 68}
[700/1200] {'ok': 632, 'fail': 68}
[710/1200] {'ok': 642, 'fail': 68}
[720/1200] {'ok': 652, 'fail': 68}
[730/1200] {'ok': 662, 'fail': 68}
[740/1200] {'ok': 672, 'fail': 68}
[750/1200] {'ok': 682, 'fail': 68}
[760/1200] {'ok': 688, 'fail': 72}
[770/1200] {'ok': 696, 'fail': 74}
[780/1200] {'ok': 701, 'fail': 79}
[790/1200] {'ok': 710, 'fail': 80}
[800/1200] {'ok': 716, 'fail': 84}
[810/1200] {'ok': 724, 'fail': 86}
[820/1200] {'ok': 732, 'fail': 88}
[830/1200] {'ok': 742, 'fail': 88}
[840/1200] {'ok': 752, 'fail': 88}
[850/1200] {'ok': 760, 'fail': 90}
[860/1200] {'ok': 770, 'fail': 90}
[870/1200] {'ok': 780, 'fail': 90}
[880/1200] {'ok': 786, 'fail': 94}
[890/1200] {'ok': 792, 'fail': 98}
[900/1200] {'ok': 802, 'fail': 98}
[910/1200] {'ok': 810, 'fail': 100}
[920/1200] {'ok': 818, 'fail': 102}
[930/1200] {'ok': 828, 'fail': 102}
[940/1200] {'ok': 838, 'fail': 102}
[950/1200] {'ok': 848, 'fail': 102}
[960/1200] {'ok': 854, 'fail': 106}
[970/1200] {'ok': 864, 'fail': 106}
[980/1200] {'ok': 870, 'fail': 110}
[990/1200] {'ok': 880, 'fail': 110}
[1000/1200] {'ok': 890, 'fail': 110}
[1010/1200] {'ok': 900, 'fail': 110}
[1020/1200] {'ok': 910, 'fail': 110}
[1030/1200] {'ok': 920, 'fail': 110}
[1040/1200] {'ok': 930, 'fail': 110}
[1050/1200] {'ok': 934, 'fail': 116}
[1060/1200] {'ok': 940, 'fail': 120}
[1070/1200] {'ok': 945, 'fail': 125}
[1080/1200] {'ok': 954, 'fail': 126}
[1090/1200] {'ok': 964, 'fail': 126}
[1100/1200] {'ok': 974, 'fail': 126}
[1110/1200] {'ok': 984, 'fail': 126}
[1120/1200] {'ok': 994, 'fail': 126}
[1130/1200] {'ok': 1000, 'fail': 130}
[1140/1200] {'ok': 1008, 'fail': 132}
[1150/1200] {'ok': 1018, 'fail': 132}
[1160/1200] {'ok': 1028, 'fail': 132}
[1170/1200] {'ok': 1038, 'fail': 132}
[1180/1200] {'ok': 1048, 'fail': 132}
[1190/1200] {'ok': 1058, 'fail': 132}
[1200/1200] {'ok': 1068, 'fail': 132}
done: {'ok': 1068, 'fail': 132}
