population: 130497 problems after filtering
[10/1200] {'fail': 8, 'ok': 2}
[20/1200] {'fail': 18, 'ok': 2}
[30/1200] {'fail': 23, 'ok': 7}
[40/1200] {'fail': 31, 'ok': 8, 'error': 1}
[730/1200] {'fail': 540, 'ok': 126, 'error': 47, 'timeout': 10, 'crash': 7}
[740/1200] {'fail': 549, 'ok': 126, 'error': 48, 'timeout': 10, 'crash': 7}
[750/1200] {'fail': 555, 'ok': 130, 'error': 48, 'timeout': 10, 'crash': 7}
[760/1200] {'fail': 564, 'ok': 130, 'error': 49, 'timeout': 10, 'crash': 7}
[770/1200] {'fail': 574, 'ok': 130, 'error': 49, 'timeout': 10, 'crash': 7}
[780/1200] {'fail': 580, 'ok': 130, 'error': 53, 'timeout': 10, 'crash': 7}
[790/1200] {'fail': 588, 'ok': 131, 'error': 54, 'timeout': 10, 'crash': 7}
[800/1200] {'fail': 593, 'ok': 135, 'error': 55, 'timeout': 10, 'crash': 7}
[810/1200] {'fail': 597, 'ok': 139, 'error': 57, 'timeout': 10, 'crash': 7}
[820/1200] {'fail': 605, 'ok': 139, 'error': 59, 'timeout': 10, 'crash': 7}
[830/1200] {'fail': 613, 'ok': 139, 'error': 60, 'timeout': 11, 'crash': 7}
[840/1200] {'fail': 619, 'ok': 143, 'error': 60, 'timeout': 11, 'crash': 7}
[850/1200] {'fail': 627, 'ok': 143, 'error': 62, 'timeout': 11, 'crash': 7}
[860/1200] {'fail': 635, 'ok': 145, 'error': 62, 'timeout': 11, 'crash': 7}
[870/1200] {'fail': 645, 'ok': 145, 'error': 62, 'timeout': 11, 'crash': 7}
[880/1200] {'fail': 655, 'ok': 145, 'error': 62, 'timeout': 11, 'crash': 7}
[890/1200] {'fail': 659, 'ok': 147, 'error': 66, 'timeout': 11, 'crash': 7}
[900/1200] {'fail': 668, 'ok': 147, 'error': 67, 'timeout': 11, 'crash': 7}
[910/1200] {'fail': 678, 'ok': 147, 'error': 67, 'timeout': 11, 'crash': 7}
[920/1200] {'fail': 688, 'ok': 147, 'error': 67, 'timeout': 11, 'crash': 7}
[930/1200] {'fail': 696, 'ok': 149, 'error': 67, 'timeout': 11, 'crash': 7}
[940/1200] {'fail': 703, 'ok': 149, 'error': 69, 'timeout': 12, 'crash': 7}
[950/1200] {'fail': 711, 'ok': 151, 'error': 69, 'timeout': 12, 'crash': 7}
[960/1200] {'fail': 718, 'ok': 153, 'error': 70, 'timeout': 12, 'crash': 7}
[970/1200] {'fail': 725, 'ok': 155, 'error': 71, 'timeout': 12, 'crash': 7}
[980/1200] {'fail': 731, 'ok': 159, 'error': 71, 'timeout': 12, 'crash': 7}
[990/1200] {'fail': 739, 'ok': 161, 'error': 71, 'timeout': 12, 'crash': 7}
[1000/1200] {'fail': 749, 'ok': 161, 'error': 71, 'timeout': 12, 'crash': 7}
[1010/1200] {'fail': 754, 'ok': 166, 'error': 71, 'timeout': 12, 'crash': 7}
[1020/1200] {'fail': 764, 'ok': 166, 'error': 71, 'timeout': 12, 'crash': 7}
[1030/1200] {'fail': 773, 'ok': 167, 'error': 71, 'timeout': 12, 'crash': 7}
[1040/1200] {'fail': 778, 'ok': 171, 'error': 72, 'timeout': 12, 'crash': 7}
[1050/1200] {'fail': 786, 'ok': 173, 'error': 72, 'timeout': 12, 'crash': 7}
[1060/1200] {'fail': 792, 'ok': 177, 'error': 72, 'timeout': 12, 'crash': 7}
[1070/1200] {'fail': 798, 'ok': 181, 'error': 72, 'timeout': 12, 'crash': 7}
[1080/1200] {'fail': 807, 'ok': 181, 'error': 73, 'timeout': 12, 'crash': 7}
[1090/1200] {'fail': 817, 'ok': 181, 'error': 73, 'timeout': 12, 'crash': 7}
[1100/1200] {'fail': 824, 'ok': 183, 'error': 73, 'timeout': 13, 'crash': 7}
[1110/1200] {'fail': 834, 'ok': 183, 'error': 73, 'timeout': 13, 'crash': 7}
[1120/1200] {'fail': 840, 'ok': 186, 'error': 74, 'timeout': 13, 'crash': 7}
[1130/1200] {'fail': 849, 'ok': 187, 'error': 74, 'timeout': 13, 'crash': 7}
[1140/1200] {'fail': 855, 'ok': 189, 'error': 76, 'timeout': 13, 'crash': 7}
[1150/1200] {'fail': 861, 'ok': 191, 'error': 78, 'timeout': 13, 'crash': 7}
[1160/1200] {'fail': 869, 'ok': 191, 'error': 80, 'timeout': 13, 'crash': 7}
[1170/1200] {'fail': 877, 'ok': 191, 'error': 82, 'timeout': 13, 'crash': 7}
[1180/1200] {'fail': 887, 'ok': 191, 'error': 82, 'timeout': 13, 'crash': 7}
[1190/1200] {'fail': 895, 'ok': 191, 'error': 84, 'timeout': 13, 'crash': 7}
[1200/1200] {'fail': 901, 'ok': 193, 'error': 86, 'timeout': 13, 'crash': 7}
done: {'fail': 901, 'ok': 193, 'error': 86, 'timeout': 13, 'crash': 7}
