population: 15139 problems after filtering
[10/1500] {'ok': 10}
[20/1500] {'ok': 20}
[30/1500] {'ok': 30}
[40/1500] {'ok': 40}
[50/1500] {'ok': 50}
[60/1500] {'ok': 60}
[70/1500] {'ok': 70}
[80/1500] {'ok': 80}
[90/1500] {'ok': 90}
[100/1500] {'ok': 100}
[110/1500] {'ok': 110}
[1400/1500] {'ok': 1223, 'fail': 177}
[1410/1500] {'ok': 1230, 'fail': 180}
[1420/1500] {'ok': 1240, 'fail': 180}
[1430/1500] {'ok': 1250, 'fail': 180}
[1440/1500] {'ok': 1260, 'fail': 180}
[1450/1500] {'ok': 1270, 'fail': 180}
[1460/1500] {'ok': 1280, 'fail': 180}
[1470/1500] {'ok': 1290, 'fail': 180}
[1480/1500] {'ok': 1297, 'fail': 183}
[1490/1500] {'ok': 1307, 'fail': 183}
[1500/1500] {'ok': 1317, 'fail': 183}
done: {'ok': 1317, 'fail': 183}
