population: 15139 problems after filtering
[10/1200] {'ok': 10}
[20/1200] {'ok': 20}
[30/1200] {'ok': 30}
[40/1200] {'ok': 40}
[50/1200] {'ok': 50}
[60/1200] {'ok': 56, 'fail': 4}
[70/1200] {'ok': 66, 'fail': 4}
[80/1200] {'ok': 76, 'fail': 4}
[90/1200] {'ok': 82, 'fail': 8}
[100/1200] {'ok': 88, 'fail': 12}
[110/1200] {'ok': 98, 'fail': 12}
[120/1200] {'ok': 104, 'fail': 16}
[130/1200] {'ok': 110, 'fail': 20}
[140/1200] {'ok': 120, 'fail': 20}
[150/1200] {'ok': 130, 'fail': 20}
[160/1200] {'ok': 140, 'fail': 20}
[170/1200] {'ok': 146, 'fail': 24}
[180/1200] {'ok': 156, 'fail': 24}
[190/1200] {'ok': 162, 'fail': 28}
[200/1200] {'ok': 172, 'fail': 28}
[210/1200] {'ok': 182, 'fail': 28}
[220/1200] {'ok': 192, 'fail': 28}
[230/1200] {'ok': 202, 'fail': 28}
[240/1200] {'ok': 208, 'fail': 32}
[250/1200] {'ok': 218, 'fail': 32}
[260/1200] {'ok': 228, 'fail': 32}
[270/1200] {'ok': 238, 'fail': 32}
[280/1200] {'ok': 244, 'fail': 36}
[290/1200] {'ok': 254, 'fail': 36}
[300/1200] {'ok': 264, 'fail': 36}
[310/1200] {'ok': 270, 'fail': 40}
[320/1200] {'ok': 277, 'fail': 43}
[330/1200] {'ok': 286, 'fail': 44}
[340/1200] {'ok': 295, 'fail': 45}
[350/1200] {'ok': 305, 'fail': 45}
[360/1200] {'ok': 315, 'fail': 45}
[370/1200] {'ok': 325, 'fail': 45}
[380/1200] {'ok': 331, 'fail': 49}
[390/1200] {'ok': 341, 'fail': 49}
[400/1200] {'ok': 351, 'fail': 49}
[410/1200] {'ok': 357, 'fail': 53}
[420/1200] {'ok': 363, 'fail': 57}
[430/1200] {'ok': 371, 'fail': 59}
[440/1200] {'ok': 376, 'fail': 64}
[450/1200] {'ok': 386, 'fail': 64}
[460/1200] {'ok': 394, 'fail': 66}
[470/1200] {'ok': 404, 'fail': 66}
[480/1200] {'ok': 414, 'fail': 66}
[490/1200] {'ok': 416, 'fail': 74}
[500/1200] {'ok': 422, 'fail': 78}
[510/1200] {'ok': 428, 'fail': 82}
[520/1200] {'ok': 438, 'fail': 82}
[530/1200] {'ok': 442, 'fail': 88}
[540/1200] {'ok': 450, 'fail': 90}
[550/1200] {'ok': 460, 'fail': 90}
[560/1200] {'ok': 466, 'fail': 94}
[570/1200] {'ok': 476, 'fail': 94}
[580/1200] {'ok': 486, 'fail': 94}
[590/1200] {'ok': 496, 'fail': 94}
[600/1200] {'ok': 502, 'fail': 98}
[610/1200] {'ok': 508, 'fail': 102}
[620/1200] {'ok': 518, 'fail': 102}
[630/1200] {'ok': 528, 'fail': 102}
[640/1200] {'ok': 538, 'fail': 102}
[650/1200] {'ok': 548, 'fail': 102}
[660/1200] {'ok': 558, 'fail': 102}
[670/1200] {'ok': 566, 'fail': 104}
[680/1200] {'ok': 576, 'fail': 104}
[690/1200] {'ok': 586, 'fail': 104}
[700/1200] {'ok': 596, 'fail': 104}
[710/1200] {'ok': 604, 'fail': 106}
[720/1200] {'ok': 612, 'fail': 108}
[730/1200] {'ok': 622, 'fail': 108}
[740/1200] {'ok': 632, 'fail': 108}
[750/1200] {'ok': 636, 'fail': 114}
[760/1200] {'ok': 646, 'fail': 114}
[770/1200] {'ok': 654, 'fail': 116}
[780/1200] {'ok': 658, 'fail': 122}
[790/1200] {'ok': 668, 'fail': 122}
[800/1200] {'ok': 674, 'fail': 126}
[810/1200] {'ok': 684, 'fail': 126}
[820/1200] {'ok': 694, 'fail': 126}
[830/1200] {'ok': 703, 'fail': 127}
[840/1200] {'ok': 708, 'fail': 132}
[850/1200] {'ok': 714, 'fail': 136}
[860/1200] {'ok': 724, 'fail': 136}
[870/1200] {'ok': 734, 'fail': 136}
[880/1200] {'ok': 740, 'fail': 140}
[890/1200] {'ok': 745, 'fail': 145}
[900/1200] {'ok': 753, 'fail': 147}
[910/1200] {'ok': 759, 'fail': 151}
[920/1200] {'ok': 767, 'fail': 153}
[930/1200] {'ok': 775, 'fail': 155}
[940/1200] {'ok': 785, 'fail': 155}
[950/1200] {'ok': 795, 'fail': 155}
[960/1200] {'ok': 801, 'fail': 159}
[970/1200] {'ok': 807, 'fail': 163}
[980/1200] {'ok': 815, 'fail': 165}
[990/1200] {'ok': 825, 'fail': 165}
[1000/1200] {'ok': 835, 'fail': 165}
[1010/1200] {'ok': 845, 'fail': 165}
[1020/1200] {'ok': 855, 'fail': 165}
[1030/1200] {'ok': 865, 'fail': 165}
[1040/1200] {'ok': 875, 'fail': 165}
[1050/1200] {'ok': 879, 'fail': 171}
[1060/1200] {'ok': 883, 'fail': 177}
[1070/1200] {'ok': 887, 'fail': 183}
[1080/1200] {'ok': 895, 'fail': 185}
[1090/1200] {'ok': 901, 'fail': 189}
[1100/1200] {'ok': 909, 'fail': 191}
[1110/1200] {'ok': 919, 'fail': 191}
[1120/1200] {'ok': 929, 'fail': 191}
[1130/1200] {'ok': 931, 'fail': 199}
[1140/1200] {'ok': 937, 'fail': 203}
[1150/1200] {'ok': 943, 'fail': 207}
[1160/1200] {'ok': 953, 'fail': 207}
[1170/1200] {'ok': 963, 'fail': 207}
[1180/1200] {'ok': 973, 'fail': 207}
[1190/1200] {'ok': 983, 'fail': 207}
[1200/1200] {'ok': 989, 'fail': 211}
done: {'ok': 989, 'fail': 211}
