population: 15139 problems after filtering
[1370/1500] {'ok': 933, 'fail': 437}
[1380/1500] {'ok': 937, 'fail': 443}
[1390/1500] {'ok': 937, 'fail': 453}
[1400/1500] {'ok': 941, 'fail': 459}
[1410/1500] {'ok': 948, 'fail': 462}
[1420/1500] {'ok': 955, 'fail': 465}
[1430/1500] {'ok': 963, 'fail': 467}
[1440/1500] {'ok': 971, 'fail': 469}
[1450/1500] {'ok': 979, 'fail': 471}
[1460/1500] {'ok': 987, 'fail': 473}
[1470/1500] {'ok': 993, 'fail': 477}
[1480/1500] {'ok': 1002, 'fail': 478}
[1490/1500] {'ok': 1010, 'fail': 480}
[1500/1500] {'ok': 1018, 'fail': 482}
done: {'ok': 1018, 'fail': 482}
